demographic_group	pvalue	bonferroni_cutoff	#comparisons
over30	0.016260162601626018	0.05	1
asian	0.002004008016032064	0.005	10
american_indian	0.0	0.005	10
male/asian	0.001001001001001001	0.002380952380952381	21
male/hispanic	0.0	0.002380952380952381	21
female/american_indian	0.0	0.002380952380952381	21
male/over30	0.006036217303822938	0.008333333333333333	6
asian/under30	0.0	0.0033333333333333335	15
american_indian/over30	0.0	0.0033333333333333335	15
male/asian/under30	0.0	0.001388888888888889	36
male/white/over30	0.0	0.001388888888888889	36
female/american_indian/over30	0.0	0.001388888888888889	36
